"Area","BNF_Section","BNF_Section_Code","BNF_Chapter","BNF_Chapter_Code","items","actual_cost","item_label"
"NHS Coastal West Sussex CCG","Colostomy Bags","2335","Stoma Appliances","23",5654,1125231.9,"Colostomy Bags
5,654"
"NHS Coastal West Sussex CCG","Compound Vitamins/Mineral Formulations","0910","Nutrition and Blood","09",3398,16967.85,"Compound Vitamins/Mineral Formulations
3,398"
"NHS Coastal West Sussex CCG","Contraceptive Devices","2104","Appliances","21",348,3537.49,"Contraceptive Devices
348"
"NHS Coastal West Sussex CCG","Contraceptives","0703","Obstetrics, Gynae and Urinary Tract Disorders","07",73310,788906.35,"Contraceptives
73,310"
"NHS Coastal West Sussex CCG","Cordials/Soft Drinks","1913","Other Drugs and Preparations","19",40,1450.12,"Cordials/Soft Drinks
40"
"NHS Coastal West Sussex CCG","Corticosteroids (Endocrine)","0603","Endocrine System","06",101078,638759.51,"Corticosteroids (Endocrine)
101,078"
"NHS Coastal West Sussex CCG","Corticosteroids (Respiratory)","0302","Respiratory System","03",173143,5607645.36,"Corticosteroids (Respiratory)
173,143"
"NHS Coastal West Sussex CCG","Corticosteroids & Other Anti-Inflammatory Preparations.","1104","Eye","11",17416,130569.06,"Corticosteroids & Other Anti-Inflammatory Preparations.
17,416"
"NHS Coastal West Sussex CCG","Cough Preparations","0309","Respiratory System","03",2007,13196.89,"Cough Preparations
2,007"
"NHS Coastal West Sussex CCG","Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists","0303","Respiratory System","03",22987,48119.7,"Cromoglycate and Related Therapy and Leukotriene Receptor Antagonists
22,987"
"NHS Coastal West Sussex CCG","Cycloidal Vibration Accessories","2131","Appliances","21",1,278.08,"Cycloidal Vibration Accessories
1"
"NHS Coastal West Sussex CCG","Cytotoxic Drugs","0801","Malignant Disease and Immunosuppression","08",734,42931.22,"Cytotoxic Drugs
734"
"NHS Coastal West Sussex CCG","Dementia","0411","Central Nervous System","04",53370,352140.68,"Dementia
53,370"
"NHS Coastal West Sussex CCG","Deodorants","2345","Stoma Appliances","23",1291,15185.53,"Deodorants
1,291"
"NHS Coastal West Sussex CCG","Detection Sensor Interstitial Fluid/Gluc","2148","Appliances","21",2121,141863.36,"Detection Sensor Interstitial Fluid/Gluc
2,121"
"NHS Coastal West Sussex CCG","Dev For Fungal Nail Infections","2147","Appliances","21",11,191.4,"Dev For Fungal Nail Infections
11"
"NHS Coastal West Sussex CCG","Discharge Solidifying Agents","2346","Stoma Appliances","23",437,22446.23,"Discharge Solidifying Agents
437"
"NHS Coastal West Sussex CCG","Diuretics","0202","Cardiovascular System","02",313785,519467.16,"Diuretics
313,785"
"NHS Coastal West Sussex CCG","Drugs Acting On The Ear","1201","Ear, Nose and Oropharynx","12",18019,80845.39,"Drugs Acting On The Ear
18,019"
"NHS Coastal West Sussex CCG","Drugs Acting On The Nose","1202","Ear, Nose and Oropharynx","12",68083,411404.23,"Drugs Acting On The Nose
68,083"
"NHS Coastal West Sussex CCG","Drugs Acting On The Oropharynx","1203","Ear, Nose and Oropharynx","12",6794,45027.9,"Drugs Acting On The Oropharynx
6,794"
"NHS Coastal West Sussex CCG","Drugs Affecting Bone Metabolism","0606","Endocrine System","06",70409,372605.94,"Drugs Affecting Bone Metabolism
70,409"
"NHS Coastal West Sussex CCG","Drugs Affecting Intestinal Secretions","0109","Gastro-Intestinal System","01",8874,509244.98,"Drugs Affecting Intestinal Secretions
8,874"
"NHS Coastal West Sussex CCG","Drugs Affecting The Immune Response","0802","Malignant Disease and Immunosuppression","08",9103,195906.93,"Drugs Affecting The Immune Response
9,103"
"NHS Coastal West Sussex CCG","Drugs For Genito-Urinary Disorders","0704","Obstetrics, Gynae and Urinary Tract Disorders","07",201193,2480351.77,"Drugs For Genito-Urinary Disorders
201,193"
"NHS Coastal West Sussex CCG","Drugs Used In Diabetes","0601","Endocrine System","06",437821,9884856.71,"Drugs Used In Diabetes
437,821"
"NHS Coastal West Sussex CCG","Drugs Used In Nausea And Vertigo","0406","Central Nervous System","04",56252,437906.94,"Drugs Used In Nausea And Vertigo
56,252"
"NHS Coastal West Sussex CCG","Drugs Used In Neuromuscular Disorders","1002","Musculoskeletal and Joint Diseases","10",10794,73104.4,"Drugs Used In Neuromuscular Disorders
10,794"
"NHS Coastal West Sussex CCG","Drugs Used In Parkinsonism & Related Disorders","0409","Central Nervous System","04",47364,1010711.97,"Drugs Used In Parkinsonism & Related Disorders
47,364"
"NHS Coastal West Sussex CCG","Drugs Used In Psychoses & Related Disorders","0402","Central Nervous System","04",104865,1452046.76,"Drugs Used In Psychoses & Related Disorders
104,865"
"NHS Coastal West Sussex CCG","Drugs Used In Rheumatic Diseases & Gout","1001","Musculoskeletal and Joint Diseases","10",208734,882046.72,"Drugs Used In Rheumatic Diseases & Gout
208,734"
"NHS Coastal West Sussex CCG","Drugs Used In Substance Dependence","0410","Central Nervous System","04",12316,350403.17,"Drugs Used In Substance Dependence
12,316"
"NHS Coastal West Sussex CCG","Dry Mouth Products","2121","Appliances","21",3904,34367.09,"Dry Mouth Products
3,904"
"NHS Coastal West Sussex CCG","Dyspepsia & Gastro-Oesophageal Reflux Disease","0101","Gastro-Intestinal System","01",35314,237180.14,"Dyspepsia & Gastro-Oesophageal Reflux Disease
35,314"
"NHS Coastal West Sussex CCG","Elastic Hosiery","2107","Appliances","21",7698,134114.17,"Elastic Hosiery
7,698"
"NHS Coastal West Sussex CCG","Emollient & Barrier Preparations","1302","Skin","13",99744,630158.39,"Emollient & Barrier Preparations
99,744"
"NHS Coastal West Sussex CCG","Emollients","2122","Appliances","21",73284,337810.28,"Emollients
73,284"
"NHS Coastal West Sussex CCG","Eye Products","2130","Appliances","21",34449,271902.97,"Eye Products
34,449"
"NHS Coastal West Sussex CCG","Faecal Collectors","2215","Incontinence Appliances","22",13,401.17,"Faecal Collectors
13"
"NHS Coastal West Sussex CCG","Filters/Bridges","2350","Stoma Appliances","23",67,4125.08,"Filters/Bridges
67"
"NHS Coastal West Sussex CCG","Fluids And Electrolytes","0902","Nutrition and Blood","09",7880,68865.91,"Fluids And Electrolytes
7,880"
"NHS Coastal West Sussex CCG","Foods","0909","Nutrition and Blood","09",1355,81514.55,"Foods
1,355"
"NHS Coastal West Sussex CCG","Gauzes & Gauze Tissue","2004","Dressings","20",1575,43818.84,"Gauzes & Gauze Tissue
1,575"
"NHS Coastal West Sussex CCG","General Anaesthesia","1501","Anaesthesia","15",3247,18502.14,"General Anaesthesia
3,247"
"NHS Coastal West Sussex CCG","Health Supplements","0911","Nutrition and Blood","09",528,25665.98,"Health Supplements
528"
"NHS Coastal West Sussex CCG","Hernia Support Garments","2146","Appliances","21",4,304.76,"Hernia Support Garments
4"
"NHS Coastal West Sussex CCG","Hypertension and Heart Failure","0205","Cardiovascular System","02",657909,1602085.77,"Hypertension and Heart Failure
657,909"
"NHS Coastal West Sussex CCG","Hypnotics And Anxiolytics","0401","Central Nervous System","04",136000,618766.37,"Hypnotics And Anxiolytics
136,000"
"NHS Coastal West Sussex CCG","Hypothalamic & Pituitary Hormones & Anti-oestrogens","0605","Endocrine System","06",3398,382151.13,"Hypothalamic & Pituitary Hormones & Anti-oestrogens
3,398"
"NHS Coastal West Sussex CCG","Ileostomy Bags","2360","Stoma Appliances","23",5714,806898.7,"Ileostomy Bags
5,714"
"NHS Coastal West Sussex CCG","Immunoglobulins","1405","Immunological Products and Vaccines","14",1,157.72,"Immunoglobulins
1"
"NHS Coastal West Sussex CCG","Incontinence Sheath Fixing Strips & Adh","2240","Incontinence Appliances","22",89,1633.79,"Incontinence Sheath Fixing Strips & Adh
89"
"NHS Coastal West Sussex CCG","Incontinence Sheaths","2230","Incontinence Appliances","22",1904,117828.65,"Incontinence Sheaths
1,904"
"NHS Coastal West Sussex CCG","Indwelling Pleural Cath Drain System","2133","Appliances","21",65,12058.14,"Indwelling Pleural Cath Drain System
65"
"NHS Coastal West Sussex CCG","Inhalation Solutions","2132","Appliances","21",360,11744.91,"Inhalation Solutions
360"
"NHS Coastal West Sussex CCG","Insert For Female Stress Incont","2285","Incontinence Appliances","22",20,887.04,"Insert For Female Stress Incont
20"
"NHS Coastal West Sussex CCG","Irrigation Solutions","2116","Appliances","21",14097,74300.25,"Irrigation Solutions
14,097"
"NHS Coastal West Sussex CCG","Irrigation Washout Appliances","2370","Stoma Appliances","23",372,12604.84,"Irrigation Washout Appliances
372"
"NHS Coastal West Sussex CCG","Jaw Rehabilitation Device","2142","Appliances","21",2,218.32,"Jaw Rehabilitation Device
2"
"NHS Coastal West Sussex CCG","Laxatives","0106","Gastro-Intestinal System","01",182748,843690.28,"Laxatives
182,748"
"NHS Coastal West Sussex CCG","Leg Bags","2250","Incontinence Appliances","22",6956,237578.17,"Leg Bags
6,956"
"NHS Coastal West Sussex CCG","Lints","2007","Dressings","20",17,702.36,"Lints
17"
"NHS Coastal West Sussex CCG","Lipid-Regulating Drugs","0212","Cardiovascular System","02",654028,1626866.88,"Lipid-Regulating Drugs
654,028"
"NHS Coastal West Sussex CCG","Local Anaesthesia","1502","Anaesthesia","15",17132,198500.56,"Local Anaesthesia
17,132"
"NHS Coastal West Sussex CCG","Local Anaesthetics","1107","Eye","11",1,0.47,"Local Anaesthetics
1"
"NHS Coastal West Sussex CCG","Local Prepn for Anal & Rectal Disorders","0107","Gastro-Intestinal System","01",12507,85827.03,"Local Prepn for Anal & Rectal Disorders
12,507"
"NHS Coastal West Sussex CCG","Low Friction Products","2138","Appliances","21",594,9353.44,"Low Friction Products
594"
"NHS Coastal West Sussex CCG","Lubricant Gels","2114","Appliances","21",3070,10314.54,"Lubricant Gels
3,070"
"NHS Coastal West Sussex CCG","Lymphoedema Garments","2127","Appliances","21",2862,182980.82,"Lymphoedema Garments
2,862"
"NHS Coastal West Sussex CCG","Management of Skin Conditions","1301","Skin","13",50,199.93,"Management of Skin Conditions
50"
"NHS Coastal West Sussex CCG","Metabolic Disorders","0908","Nutrition and Blood","09",58,9474.17,"Metabolic Disorders
58"
"NHS Coastal West Sussex CCG","Micro-Enema - Sodium Citrate","2143","Appliances","21",15,114,"Micro-Enema - Sodium Citrate
15"
"NHS Coastal West Sussex CCG","Minerals","0905","Nutrition and Blood","09",6423,246982.4,"Minerals
6,423"
"NHS Coastal West Sussex CCG","Miscellaneous Ophthalmic Preparations","1108","Eye","11",49637,229328.38,"Miscellaneous Ophthalmic Preparations
49,637"
"NHS Coastal West Sussex CCG","Miscellaneous Topical Preparations","1315","Skin","13",13,342.59,"Miscellaneous Topical Preparations
13"
"NHS Coastal West Sussex CCG","Mucolytics","0307","Respiratory System","03",22670,158126.83,"Mucolytics
22,670"
"NHS Coastal West Sussex CCG","Mydriatics And Cycloplegics","1105","Eye","11",511,34848.82,"Mydriatics And Cycloplegics
511"
"NHS Coastal West Sussex CCG","Nasal Products","2124","Appliances","21",1109,3579.63,"Nasal Products
1,109"
"NHS Coastal West Sussex CCG","Night Drainage Bags","2260","Incontinence Appliances","22",10690,147367.44,"Night Drainage Bags
10,690"
"NHS Coastal West Sussex CCG","Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206","Cardiovascular System","02",440068,1930736.47,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs
440,068"
"NHS Coastal West Sussex CCG","Obesity","0405","Central Nervous System","04",1526,32949.01,"Obesity
1,526"
"NHS Coastal West Sussex CCG","Oral Film Forming Agents","2119","Appliances","21",188,15826.33,"Oral Film Forming Agents
188"
"NHS Coastal West Sussex CCG","Oral Nutrition","0904","Nutrition and Blood","09",56558,3086666.22,"Oral Nutrition
56,558"
"NHS Coastal West Sussex CCG","Other Appliances","2101","Appliances","21",85452,636216.55,"Other Appliances
85,452"
"NHS Coastal West Sussex CCG","Other Endocrine Drugs","0607","Endocrine System","06",665,40399.65,"Other Endocrine Drugs
665"
"NHS Coastal West Sussex CCG","Other Health Supplements","0912","Nutrition and Blood","09",127,641.1,"Other Health Supplements
127"
"NHS Coastal West Sussex CCG","Other Preparations","1905","Other Drugs and Preparations","19",104,983.47,"Other Preparations
104"
"NHS Coastal West Sussex CCG","Peak Flow Meters","2112","Appliances","21",2919,15947.2,"Peak Flow Meters
2,919"
"NHS Coastal West Sussex CCG","Pelvic Toning Devices","2137","Appliances","21",14,195.04,"Pelvic Toning Devices
14"
"NHS Coastal West Sussex CCG","Physical Debridement Device","2141","Appliances","21",672,34736.28,"Physical Debridement Device
672"
"NHS Coastal West Sussex CCG","Plantar Pressure Offloading Device","2129","Appliances","21",243,7186.63,"Plantar Pressure Offloading Device
243"
"NHS Coastal West Sussex CCG","Positive Inotropic Drugs","0201","Cardiovascular System","02",30458,45375.93,"Positive Inotropic Drugs
30,458"
"NHS Coastal West Sussex CCG","Preparations For Eczema And Psoriasis","1305","Skin","13",11516,442463.24,"Preparations For Eczema And Psoriasis
11,516"
"NHS Coastal West Sussex CCG","Preparations For Warts And Calluses","1307","Skin","13",1025,11449.8,"Preparations For Warts And Calluses
1,025"
"NHS Coastal West Sussex CCG","Pressure Plates/Shields","2375","Stoma Appliances","23",32,1201.09,"Pressure Plates/Shields
32"
"NHS Coastal West Sussex CCG","Pulsed Electromagnetic Stimulator","2149","Appliances","21",5,64.8,"Pulsed Electromagnetic Stimulator
5"
"NHS Coastal West Sussex CCG","Selective Preparations","1902","Other Drugs and Preparations","19",4950,74593.28,"Selective Preparations
4,950"
"NHS Coastal West Sussex CCG","Sex Hormones","0604","Endocrine System","06",83507,917261.88,"Sex Hormones
83,507"
"NHS Coastal West Sussex CCG","Sex Hormones & Antag In Malig Disease","0803","Malignant Disease and Immunosuppression","08",38186,1744886.68,"Sex Hormones & Antag In Malig Disease
38,186"
"NHS Coastal West Sussex CCG","Shampoo & Other Preparations for Scalp & Hair Conditions","1309","Skin","13",10564,59998.27,"Shampoo & Other Preparations for Scalp & Hair Conditions
10,564"
"NHS Coastal West Sussex CCG","Silk Garments","2020","Dressings","20",139,6308.76,"Silk Garments
139"
"NHS Coastal West Sussex CCG","Single Substances","1904","Other Drugs and Preparations","19",14,91.32,"Single Substances
14"
"NHS Coastal West Sussex CCG","Skin Adhesive, Sterile","2015","Dressings","20",33,372.45,"Skin Adhesive, Sterile
33"
"NHS Coastal West Sussex CCG","Skin Cleansers,Antiseptics & Desloughing","1311","Skin","13",2295,18903.61,"Skin Cleansers,Antiseptics & Desloughing
2,295"
"NHS Coastal West Sussex CCG","Skin Closure Strips, Sterile","2014","Dressings","20",882,1478.13,"Skin Closure Strips, Sterile
882"
"NHS Coastal West Sussex CCG","Skin Fillers And Protectives","2380","Stoma Appliances","23",36702,463952.67,"Skin Fillers And Protectives
36,702"
"NHS Coastal West Sussex CCG","Skin Protectors","2385","Stoma Appliances","23",1320,95680.64,"Skin Protectors
1,320"
"NHS Coastal West Sussex CCG","Soft-Tissue Disorders & Topical Pain Rel","1003","Musculoskeletal and Joint Diseases","10",49336,242276.87,"Soft-Tissue Disorders & Topical Pain Rel
49,336"
"NHS Coastal West Sussex CCG","Stockinette","2009","Dressings","20",12806,122280.04,"Stockinette
12,806"
"NHS Coastal West Sussex CCG","Stoma Caps/Dressings","2390","Stoma Appliances","23",209,11660.02,"Stoma Caps/Dressings
209"
"NHS Coastal West Sussex CCG","Sunscreens And Camouflagers","1308","Skin","13",5893,191071.57,"Sunscreens And Camouflagers
5,893"
"NHS Coastal West Sussex CCG","Surgical Adhesive Tape","2010","Dressings","20",6983,21740.38,"Surgical Adhesive Tape
6,983"
"NHS Coastal West Sussex CCG","Surgical Sutures","2011","Dressings","20",1070,2628.57,"Surgical Sutures
1,070"
"NHS Coastal West Sussex CCG","Suspensory Systems","2270","Incontinence Appliances","22",30,892,"Suspensory Systems
30"
"NHS Coastal West Sussex CCG","Swabs","2012","Dressings","20",3703,16435.39,"Swabs
3,703"
"NHS Coastal West Sussex CCG","Sympathomimetics","0207","Cardiovascular System","02",319,17160.08,"Sympathomimetics
319"
"NHS Coastal West Sussex CCG","Systemic Nasal Decongestants","0310","Respiratory System","03",155,475.72,"Systemic Nasal Decongestants
155"
"NHS Coastal West Sussex CCG","Thyroid And Antithyroid Drugs","0602","Endocrine System","06",291247,1191628.69,"Thyroid And Antithyroid Drugs
291,247"
"NHS Coastal West Sussex CCG","Top Local Anaesthetics & Antipruritics","1303","Skin","13",2517,20300.04,"Top Local Anaesthetics & Antipruritics
2,517"
"NHS Coastal West Sussex CCG","Topical Circulatory Preparations","1314","Skin","13",1461,6241.12,"Topical Circulatory Preparations
1,461"
"NHS Coastal West Sussex CCG","Topical Corticosteroids","1304","Skin","13",94449,415564.65,"Topical Corticosteroids
94,449"
"NHS Coastal West Sussex CCG","Tracheostomy & Laryngectomy Appliances","2005","Dressings","20",1304,106173.95,"Tracheostomy & Laryngectomy Appliances
1,304"
"NHS Coastal West Sussex CCG","Treatment Of Glaucoma","1106","Eye","11",111334,1205941.24,"Treatment Of Glaucoma
111,334"
"NHS Coastal West Sussex CCG","Treatment Of Vaginal & Vulval Conditions","0702","Obstetrics, Gynae and Urinary Tract Disorders","07",32921,430287.72,"Treatment Of Vaginal & Vulval Conditions
32,921"
"NHS Coastal West Sussex CCG","Trusses","2106","Appliances","21",34,956.49,"Trusses
34"
"NHS Coastal West Sussex CCG","Tubing & Accessories","2392","Stoma Appliances","23",35,1498.52,"Tubing & Accessories
35"
"NHS Coastal West Sussex CCG","Tubing And Accessories","2280","Incontinence Appliances","22",3159,41284.66,"Tubing And Accessories
3,159"
"NHS Coastal West Sussex CCG","Two Piece Ostomy Systems","2394","Stoma Appliances","23",2567,216001.57,"Two Piece Ostomy Systems
2,567"
"NHS Coastal West Sussex CCG","Urinal Systems","2290","Incontinence Appliances","22",122,4224.13,"Urinal Systems
122"
"NHS Coastal West Sussex CCG","Urostomy Bags","2396","Stoma Appliances","23",1668,260072.8,"Urostomy Bags
1,668"
"NHS Coastal West Sussex CCG","Vaccines And Antisera","1404","Immunological Products and Vaccines","14",139157,1282322.19,"Vaccines And Antisera
139,157"
"NHS Coastal West Sussex CCG","Vacuum Pumps for Erectile Dysfunction","2118","Appliances","21",122,10234.74,"Vacuum Pumps for Erectile Dysfunction
122"
"NHS Coastal West Sussex CCG","Vaginal Dilators","2125","Appliances","21",22,702.1,"Vaginal Dilators
22"
"NHS Coastal West Sussex CCG","Vaginal Moisturisers","2123","Appliances","21",3300,30044.78,"Vaginal Moisturisers
3,300"
"NHS Coastal West Sussex CCG","Vaginal PH Correction Products","2134","Appliances","21",64,374.12,"Vaginal PH Correction Products
64"
"NHS Coastal West Sussex CCG","Venous Ulcer Compression System","2120","Appliances","21",1325,38392.69,"Venous Ulcer Compression System
1,325"
"NHS Coastal West Sussex CCG","Vitamins","0906","Nutrition and Blood","09",272256,1414803.28,"Vitamins
272,256"
"NHS Coastal West Sussex CCG","Waters","1914","Other Drugs and Preparations","19",63,742.34,"Waters
63"
"NHS Coastal West Sussex CCG","Wound Management & Other Dressings","2003","Dressings","20",94033,1953899.4,"Wound Management & Other Dressings
94,033"
"NHS Coastal West Sussex CCG","Wound Management Products","1313","Skin","13",165,4919.18,"Wound Management Products
165"
"NHS Crawley CCG","Acids","1906","Other Drugs and Preparations","19",22,109.32,"Acids
22"
"NHS Crawley CCG","Acne and Rosacea","1306","Skin","13",3856,54762.49,"Acne and Rosacea
3,856"
"NHS Crawley CCG","Acute Diarrhoea","0104","Gastro-Intestinal System","01",3318,13052.87,"Acute Diarrhoea
3,318"
"NHS Crawley CCG","Adhesive Discs/Rings/Pads/Plasters","2305","Stoma Appliances","23",492,20551.78,"Adhesive Discs/Rings/Pads/Plasters
492"
"NHS Crawley CCG","Adhesive Dressing Remover Ster Silicone","2136","Appliances","21",41,964.44,"Adhesive Dressing Remover Ster Silicone
41"
"NHS Crawley CCG","Adhesive Removers (Sprays/Liquids/Wipes)","2315","Stoma Appliances","23",1645,41812.6,"Adhesive Removers (Sprays/Liquids/Wipes)
1,645"
"NHS Crawley CCG","Anaemias + Other Blood Disorders","0901","Nutrition and Blood","09",53749,131590.84,"Anaemias + Other Blood Disorders
53,749"
"NHS Crawley CCG","Anal Irrigation System","2128","Appliances","21",255,39493.34,"Anal Irrigation System
255"
"NHS Crawley CCG","Anal Plugs","2202","Incontinence Appliances","22",2,87.46,"Anal Plugs
2"
"NHS Crawley CCG","Analgesics","0407","Central Nervous System","04",116102,885858.63,"Analgesics
116,102"
"NHS Crawley CCG","Anthelmintics","0505","Infections","05",365,637.04,"Anthelmintics
365"
"NHS Crawley CCG","Anti-Arrhythmic Drugs","0203","Cardiovascular System","02",1452,8040.63,"Anti-Arrhythmic Drugs
1,452"
"NHS Crawley CCG","Anti-Infective Eye Preparations","1103","Eye","11",3277,17002.72,"Anti-Infective Eye Preparations
3,277"
"NHS Crawley CCG","Anti-Infective Skin Preparations","1310","Skin","13",7519,27547.4,"Anti-Infective Skin Preparations
7,519"
"NHS Crawley CCG","Antibacterial Drugs","0501","Infections","05",62120,265223.25,"Antibacterial Drugs
62,120"
"NHS Crawley CCG","Anticoagulants And Protamine","0208","Cardiovascular System","02",35910,879194.98,"Anticoagulants And Protamine
35,910"
"NHS Crawley CCG","Antidepressant Drugs","0403","Central Nervous System","04",125674,336622.62,"Antidepressant Drugs
125,674"
"NHS Crawley CCG","Antiepileptic Drugs","0408","Central Nervous System","04",53200,796525.56,"Antiepileptic Drugs
53,200"
"NHS Crawley CCG","Antifibrinolytic Drugs & Haemostatics","0211","Cardiovascular System","02",922,11193.89,"Antifibrinolytic Drugs & Haemostatics
922"
"NHS Crawley CCG","Antifungal Drugs","0502","Infections","05",2939,20230.76,"Antifungal Drugs
2,939"
