"Code","CCG_code","CCG","items","quantity","actual_cost","BNF_chapter","BNF Chapter Code","BNF_section","item_label","Year","label"
"0104","09H","NHS Crawley CCG",3318,300106,13052.794,"Gastro-Intestinal System","01","Acute Diarrhoea","Acute Diarrhoea
3,318","2018","Gastro-Intestinal System.Acute Diarrhoea"
"0104","09X","NHS Horsham And Mid Sussex CCG",6059,725395,29101.60491,"Gastro-Intestinal System","01","Acute Diarrhoea","Acute Diarrhoea
6,059","2018","Gastro-Intestinal System.Acute Diarrhoea"
"0105","09G","NHS Coastal West Sussex CCG",24582,3472106,1205652.92795,"Gastro-Intestinal System","01","Chronic Bowel Disorders","Chronic Bowel Disorders
24,582","2018","Gastro-Intestinal System.Chronic Bowel Disorders"
"0105","09H","NHS Crawley CCG",5091,689226,226490.3955,"Gastro-Intestinal System","01","Chronic Bowel Disorders","Chronic Bowel Disorders
5,091","2018","Gastro-Intestinal System.Chronic Bowel Disorders"
"0105","09X","NHS Horsham And Mid Sussex CCG",9480,1639301,504998.02476,"Gastro-Intestinal System","01","Chronic Bowel Disorders","Chronic Bowel Disorders
9,480","2018","Gastro-Intestinal System.Chronic Bowel Disorders"
"0106","09G","NHS Coastal West Sussex CCG",182748,27362789,843689.32863,"Gastro-Intestinal System","01","Laxatives","Laxatives
182,748","2018","Gastro-Intestinal System.Laxatives"
"0106","09H","NHS Crawley CCG",34355,4921874,169998.37622,"Gastro-Intestinal System","01","Laxatives","Laxatives
34,355","2018","Gastro-Intestinal System.Laxatives"
"0106","09X","NHS Horsham And Mid Sussex CCG",64033,10375417,330232.80959,"Gastro-Intestinal System","01","Laxatives","Laxatives
64,033","2018","Gastro-Intestinal System.Laxatives"
"0107","09G","NHS Coastal West Sussex CCG",12507,334327,85825.49229,"Gastro-Intestinal System","01","Local Prepn for Anal & Rectal Disorders","Local Prepn for Anal & Rectal Disorders
12,507","2018","Gastro-Intestinal System.Local Prepn for Anal & Rectal Disorders"
"0107","09H","NHS Crawley CCG",2654,73419,21373.27892,"Gastro-Intestinal System","01","Local Prepn for Anal & Rectal Disorders","Local Prepn for Anal & Rectal Disorders
2,654","2018","Gastro-Intestinal System.Local Prepn for Anal & Rectal Disorders"
"0107","09X","NHS Horsham And Mid Sussex CCG",4226,104570,32256.29353,"Gastro-Intestinal System","01","Local Prepn for Anal & Rectal Disorders","Local Prepn for Anal & Rectal Disorders
4,226","2018","Gastro-Intestinal System.Local Prepn for Anal & Rectal Disorders"
"0109","09G","NHS Coastal West Sussex CCG",8874,2062965,509245.01426,"Gastro-Intestinal System","01","Drugs Affecting Intestinal Secretions","Drugs Affecting Intestinal Secretions
8,874","2018","Gastro-Intestinal System.Drugs Affecting Intestinal Secretions"
"0109","09H","NHS Crawley CCG",1380,348664,75413.47839,"Gastro-Intestinal System","01","Drugs Affecting Intestinal Secretions","Drugs Affecting Intestinal Secretions
1,380","2018","Gastro-Intestinal System.Drugs Affecting Intestinal Secretions"
"0109","09X","NHS Horsham And Mid Sussex CCG",2332,582402,133696.55571,"Gastro-Intestinal System","01","Drugs Affecting Intestinal Secretions","Drugs Affecting Intestinal Secretions
2,332","2018","Gastro-Intestinal System.Drugs Affecting Intestinal Secretions"
"0201","09G","NHS Coastal West Sussex CCG",30458,860690,45375.978,"Cardiovascular System","02","Positive Inotropic Drugs","Positive Inotropic Drugs
30,458","2018","Cardiovascular System.Positive Inotropic Drugs"
"0201","09H","NHS Crawley CCG",5821,151227,8116.11582,"Cardiovascular System","02","Positive Inotropic Drugs","Positive Inotropic Drugs
5,821","2018","Cardiovascular System.Positive Inotropic Drugs"
"0201","09X","NHS Horsham And Mid Sussex CCG",10029,373887,19324.65187,"Cardiovascular System","02","Positive Inotropic Drugs","Positive Inotropic Drugs
10,029","2018","Cardiovascular System.Positive Inotropic Drugs"
"0202","09G","NHS Coastal West Sussex CCG",313785,11610403,519467.13615,"Cardiovascular System","02","Diuretics","Diuretics
313,785","2018","Cardiovascular System.Diuretics"
"0202","09H","NHS Crawley CCG",60276,2035475,90406.42574,"Cardiovascular System","02","Diuretics","Diuretics
60,276","2018","Cardiovascular System.Diuretics"
"0202","09X","NHS Horsham And Mid Sussex CCG",90393,4221578,186422.03593,"Cardiovascular System","02","Diuretics","Diuretics
90,393","2018","Cardiovascular System.Diuretics"
"0203","09G","NHS Coastal West Sussex CCG",12743,665828,129771.35052,"Cardiovascular System","02","Anti-Arrhythmic Drugs","Anti-Arrhythmic Drugs
12,743","2018","Cardiovascular System.Anti-Arrhythmic Drugs"
"0203","09H","NHS Crawley CCG",1452,60839,8040.49181,"Cardiovascular System","02","Anti-Arrhythmic Drugs","Anti-Arrhythmic Drugs
1,452","2018","Cardiovascular System.Anti-Arrhythmic Drugs"
"0203","09X","NHS Horsham And Mid Sussex CCG",3013,206695,39243.8821,"Cardiovascular System","02","Anti-Arrhythmic Drugs","Anti-Arrhythmic Drugs
3,013","2018","Cardiovascular System.Anti-Arrhythmic Drugs"
"0204","09G","NHS Coastal West Sussex CCG",378500,15709475,618655.90859,"Cardiovascular System","02","Beta-Adrenoceptor Blocking Drugs","Beta-Adrenoceptor Blocking Drugs
378,500","2018","Cardiovascular System.Beta-Adrenoceptor Blocking Drugs"
"0204","09H","NHS Crawley CCG",75247,3046507,111898.1289,"Cardiovascular System","02","Beta-Adrenoceptor Blocking Drugs","Beta-Adrenoceptor Blocking Drugs
75,247","2018","Cardiovascular System.Beta-Adrenoceptor Blocking Drugs"
"0204","09X","NHS Horsham And Mid Sussex CCG",111590,5969612,219346.83203,"Cardiovascular System","02","Beta-Adrenoceptor Blocking Drugs","Beta-Adrenoceptor Blocking Drugs
111,590","2018","Cardiovascular System.Beta-Adrenoceptor Blocking Drugs"
"0205","09G","NHS Coastal West Sussex CCG",657909,26707021,1602086.46416,"Cardiovascular System","02","Hypertension and Heart Failure","Hypertension and Heart Failure
657,909","2018","Cardiovascular System.Hypertension and Heart Failure"
"0205","09H","NHS Crawley CCG",137155,5420862,337167.25304,"Cardiovascular System","02","Hypertension and Heart Failure","Hypertension and Heart Failure
137,155","2018","Cardiovascular System.Hypertension and Heart Failure"
"0205","09X","NHS Horsham And Mid Sussex CCG",214021,11100737,672175.49254,"Cardiovascular System","02","Hypertension and Heart Failure","Hypertension and Heart Failure
214,021","2018","Cardiovascular System.Hypertension and Heart Failure"
"0206","09G","NHS Coastal West Sussex CCG",440068,17484463,1930733.8159,"Cardiovascular System","02","Nit,Calc Block & Other Antianginal Drugs","Nit,Calc Block & Other Antianginal Drugs
440,068","2018","Cardiovascular System.Nit,Calc Block & Other Antianginal Drugs"
"0206","09H","NHS Crawley CCG",87158,3362330,258048.64989,"Cardiovascular System","02","Nit,Calc Block & Other Antianginal Drugs","Nit,Calc Block & Other Antianginal Drugs
87,158","2018","Cardiovascular System.Nit,Calc Block & Other Antianginal Drugs"
"0206","09X","NHS Horsham And Mid Sussex CCG",136503,6815834,551843.79358,"Cardiovascular System","02","Nit,Calc Block & Other Antianginal Drugs","Nit,Calc Block & Other Antianginal Drugs
136,503","2018","Cardiovascular System.Nit,Calc Block & Other Antianginal Drugs"
"0207","09G","NHS Coastal West Sussex CCG",319,27944,17160.16432,"Cardiovascular System","02","Sympathomimetics","Sympathomimetics
319","2018","Cardiovascular System.Sympathomimetics"
"0207","09H","NHS Crawley CCG",69,7430,4742.03697,"Cardiovascular System","02","Sympathomimetics","Sympathomimetics
69","2018","Cardiovascular System.Sympathomimetics"
"0207","09X","NHS Horsham And Mid Sussex CCG",577,57690,35041.71985,"Cardiovascular System","02","Sympathomimetics","Sympathomimetics
577","2018","Cardiovascular System.Sympathomimetics"
"0208","09G","NHS Coastal West Sussex CCG",224789,10561849,6116502.78974,"Cardiovascular System","02","Anticoagulants And Protamine","Anticoagulants And Protamine
224,789","2018","Cardiovascular System.Anticoagulants And Protamine"
"0208","09H","NHS Crawley CCG",35910,1586170,879194.99009,"Cardiovascular System","02","Anticoagulants And Protamine","Anticoagulants And Protamine
35,910","2018","Cardiovascular System.Anticoagulants And Protamine"
"0208","09X","NHS Horsham And Mid Sussex CCG",65569,3485667,2242086.35142,"Cardiovascular System","02","Anticoagulants And Protamine","Anticoagulants And Protamine
65,569","2018","Cardiovascular System.Anticoagulants And Protamine"
"0209","09G","NHS Coastal West Sussex CCG",317851,11051184,624970.56297,"Cardiovascular System","02","Antiplatelet Drugs","Antiplatelet Drugs
317,851","2018","Cardiovascular System.Antiplatelet Drugs"
"0209","09H","NHS Crawley CCG",61927,2031082,101079.0369,"Cardiovascular System","02","Antiplatelet Drugs","Antiplatelet Drugs
61,927","2018","Cardiovascular System.Antiplatelet Drugs"
"0209","09X","NHS Horsham And Mid Sussex CCG",87224,3899806,156186.32115,"Cardiovascular System","02","Antiplatelet Drugs","Antiplatelet Drugs
87,224","2018","Cardiovascular System.Antiplatelet Drugs"
"0211","09G","NHS Coastal West Sussex CCG",3117,205657,39275.97488,"Cardiovascular System","02","Antifibrinolytic Drugs & Haemostatics","Antifibrinolytic Drugs & Haemostatics
3,117","2018","Cardiovascular System.Antifibrinolytic Drugs & Haemostatics"
"0211","09H","NHS Crawley CCG",922,59161,11193.8863,"Cardiovascular System","02","Antifibrinolytic Drugs & Haemostatics","Antifibrinolytic Drugs & Haemostatics
922","2018","Cardiovascular System.Antifibrinolytic Drugs & Haemostatics"
"0211","09X","NHS Horsham And Mid Sussex CCG",1325,90221,15973.98893,"Cardiovascular System","02","Antifibrinolytic Drugs & Haemostatics","Antifibrinolytic Drugs & Haemostatics
1,325","2018","Cardiovascular System.Antifibrinolytic Drugs & Haemostatics"
"0212","09G","NHS Coastal West Sussex CCG",654028,24115042,1626866.51343,"Cardiovascular System","02","Lipid-Regulating Drugs","Lipid-Regulating Drugs
654,028","2018","Cardiovascular System.Lipid-Regulating Drugs"
"0212","09H","NHS Crawley CCG",130297,4543535,318673.1306,"Cardiovascular System","02","Lipid-Regulating Drugs","Lipid-Regulating Drugs
130,297","2018","Cardiovascular System.Lipid-Regulating Drugs"
"0212","09X","NHS Horsham And Mid Sussex CCG",196013,9331264,644656.79353,"Cardiovascular System","02","Lipid-Regulating Drugs","Lipid-Regulating Drugs
196,013","2018","Cardiovascular System.Lipid-Regulating Drugs"
"0301","09G","NHS Coastal West Sussex CCG",252358,2083522,2876936.31461,"Respiratory System","03","Bronchodilators","Bronchodilators
252,358","2018","Respiratory System.Bronchodilators"
"0301","09H","NHS Crawley CCG",59840,552529,576844.52342,"Respiratory System","03","Bronchodilators","Bronchodilators
59,840","2018","Respiratory System.Bronchodilators"
"0301","09X","NHS Horsham And Mid Sussex CCG",80305,758558,863794.86645,"Respiratory System","03","Bronchodilators","Bronchodilators
80,305","2018","Respiratory System.Bronchodilators"
"0302","09G","NHS Coastal West Sussex CCG",173143,242352,5607643.78502,"Respiratory System","03","Corticosteroids (Respiratory)","Corticosteroids (Respiratory)
173,143","2018","Respiratory System.Corticosteroids (Respiratory)"
"0302","09H","NHS Crawley CCG",43219,57360,1318811.50902,"Respiratory System","03","Corticosteroids (Respiratory)","Corticosteroids (Respiratory)
43,219","2018","Respiratory System.Corticosteroids (Respiratory)"
"0302","09X","NHS Horsham And Mid Sussex CCG",67112,100279,2217766.30674,"Respiratory System","03","Corticosteroids (Respiratory)","Corticosteroids (Respiratory)
67,112","2018","Respiratory System.Corticosteroids (Respiratory)"
"0303","09G","NHS Coastal West Sussex CCG",22987,780724,48119.88771,"Respiratory System","03","Cromoglycate,Rel,Leukotriene Antagonists","Cromoglycate,Rel,Leukotriene Antagonists
22,987","2018","Respiratory System.Cromoglycate,Rel,Leukotriene Antagonists"
"0303","09H","NHS Crawley CCG",5235,167628,11899.2426,"Respiratory System","03","Cromoglycate,Rel,Leukotriene Antagonists","Cromoglycate,Rel,Leukotriene Antagonists
5,235","2018","Respiratory System.Cromoglycate,Rel,Leukotriene Antagonists"
"0303","09X","NHS Horsham And Mid Sussex CCG",7607,325434,20119.40277,"Respiratory System","03","Cromoglycate,Rel,Leukotriene Antagonists","Cromoglycate,Rel,Leukotriene Antagonists
7,607","2018","Respiratory System.Cromoglycate,Rel,Leukotriene Antagonists"
"0304","09G","NHS Coastal West Sussex CCG",115781,5350297,476952.70369,"Respiratory System","03","Antihist, Hyposensit & Allergic Emergen","Antihist, Hyposensit & Allergic Emergen
115,781","2018","Respiratory System.Antihist, Hyposensit & Allergic Emergen"
"0304","09H","NHS Crawley CCG",32019,1821765,160270.31538,"Respiratory System","03","Antihist, Hyposensit & Allergic Emergen","Antihist, Hyposensit & Allergic Emergen
32,019","2018","Respiratory System.Antihist, Hyposensit & Allergic Emergen"
"0304","09X","NHS Horsham And Mid Sussex CCG",38035,2223373,211172.36908,"Respiratory System","03","Antihist, Hyposensit & Allergic Emergen","Antihist, Hyposensit & Allergic Emergen
38,035","2018","Respiratory System.Antihist, Hyposensit & Allergic Emergen"
"0307","09G","NHS Coastal West Sussex CCG",22670,3102033,158126.83809,"Respiratory System","03","Mucolytics","Mucolytics
22,670","2018","Respiratory System.Mucolytics"
"0307","09H","NHS Crawley CCG",5176,917904,54132.3166,"Respiratory System","03","Mucolytics","Mucolytics
5,176","2018","Respiratory System.Mucolytics"
"0307","09X","NHS Horsham And Mid Sussex CCG",4775,1023940,60889.85895,"Respiratory System","03","Mucolytics","Mucolytics
4,775","2018","Respiratory System.Mucolytics"
"0308","09G","NHS Coastal West Sussex CCG",22,2600,46.76494,"Respiratory System","03","Aromatic Inhalations","Aromatic Inhalations
22","2018","Respiratory System.Aromatic Inhalations"
"0309","09G","NHS Coastal West Sussex CCG",2007,523197,13196.11734,"Respiratory System","03","Cough Preparations","Cough Preparations
2,007","2018","Respiratory System.Cough Preparations"
"0309","09H","NHS Crawley CCG",668,144870,995.48226,"Respiratory System","03","Cough Preparations","Cough Preparations
668","2018","Respiratory System.Cough Preparations"
"0309","09X","NHS Horsham And Mid Sussex CCG",629,143646,1089.83214,"Respiratory System","03","Cough Preparations","Cough Preparations
629","2018","Respiratory System.Cough Preparations"
"0310","09G","NHS Coastal West Sussex CCG",155,8262,475.69557,"Respiratory System","03","Systemic Nasal Decongestants","Systemic Nasal Decongestants
155","2018","Respiratory System.Systemic Nasal Decongestants"
"0310","09H","NHS Crawley CCG",54,3458,209.98068,"Respiratory System","03","Systemic Nasal Decongestants","Systemic Nasal Decongestants
54","2018","Respiratory System.Systemic Nasal Decongestants"
"0310","09X","NHS Horsham And Mid Sussex CCG",25,1241,64.90736,"Respiratory System","03","Systemic Nasal Decongestants","Systemic Nasal Decongestants
25","2018","Respiratory System.Systemic Nasal Decongestants"
"0401","09G","NHS Coastal West Sussex CCG",136000,4022881,618766.91633,"Central Nervous System","04","Hypnotics And Anxiolytics","Hypnotics And Anxiolytics
136,000","2018","Central Nervous System.Hypnotics And Anxiolytics"
"0401","09H","NHS Crawley CCG",28505,768508,116986.51658,"Central Nervous System","04","Hypnotics And Anxiolytics","Hypnotics And Anxiolytics
28,505","2018","Central Nervous System.Hypnotics And Anxiolytics"
"0401","09X","NHS Horsham And Mid Sussex CCG",51817,1688015,218358.00433,"Central Nervous System","04","Hypnotics And Anxiolytics","Hypnotics And Anxiolytics
51,817","2018","Central Nervous System.Hypnotics And Anxiolytics"
"0402","09G","NHS Coastal West Sussex CCG",104865,4016450,1452046.25473,"Central Nervous System","04","Drugs Used In Psychoses & Rel.Disorders","Drugs Used In Psychoses & Rel.Disorders
104,865","2018","Central Nervous System.Drugs Used In Psychoses & Rel.Disorders"
"0402","09H","NHS Crawley CCG",17065,627129,198759.38591,"Central Nervous System","04","Drugs Used In Psychoses & Rel.Disorders","Drugs Used In Psychoses & Rel.Disorders
17,065","2018","Central Nervous System.Drugs Used In Psychoses & Rel.Disorders"
"0402","09X","NHS Horsham And Mid Sussex CCG",29057,1322957,408338.37111,"Central Nervous System","04","Drugs Used In Psychoses & Rel.Disorders","Drugs Used In Psychoses & Rel.Disorders
29,057","2018","Central Nervous System.Drugs Used In Psychoses & Rel.Disorders"
"0403","09G","NHS Coastal West Sussex CCG",652726,26649302,1990420.53114,"Central Nervous System","04","Antidepressant Drugs","Antidepressant Drugs
652,726","2018","Central Nervous System.Antidepressant Drugs"
"0403","09H","NHS Crawley CCG",125674,4876141,336622.45162,"Central Nervous System","04","Antidepressant Drugs","Antidepressant Drugs
125,674","2018","Central Nervous System.Antidepressant Drugs"
"0403","09X","NHS Horsham And Mid Sussex CCG",191525,9443342,741197.89135,"Central Nervous System","04","Antidepressant Drugs","Antidepressant Drugs
191,525","2018","Central Nervous System.Antidepressant Drugs"
"0404","09G","NHS Coastal West Sussex CCG",11501,491560,440205.16393,"Central Nervous System","04","CNS Stimulants and drugs used for ADHD","CNS Stimulants and drugs used for ADHD
11,501","2018","Central Nervous System.CNS Stimulants and drugs used for ADHD"
"0404","09H","NHS Crawley CCG",3911,153969,142033.39583,"Central Nervous System","04","CNS Stimulants and drugs used for ADHD","CNS Stimulants and drugs used for ADHD
3,911","2018","Central Nervous System.CNS Stimulants and drugs used for ADHD"
"0404","09X","NHS Horsham And Mid Sussex CCG",5437,226208,225344.81665,"Central Nervous System","04","CNS Stimulants and drugs used for ADHD","CNS Stimulants and drugs used for ADHD
5,437","2018","Central Nervous System.CNS Stimulants and drugs used for ADHD"
"0405","09G","NHS Coastal West Sussex CCG",1526,147000,32948.8391,"Central Nervous System","04","Obesity","Obesity
1,526","2018","Central Nervous System.Obesity"
"0405","09H","NHS Crawley CCG",597,52078,11701.6582,"Central Nervous System","04","Obesity","Obesity
597","2018","Central Nervous System.Obesity"
"0405","09X","NHS Horsham And Mid Sussex CCG",421,41239,9161.01037,"Central Nervous System","04","Obesity","Obesity
421","2018","Central Nervous System.Obesity"
"0406","09G","NHS Coastal West Sussex CCG",56252,3866048,437906.92069,"Central Nervous System","04","Drugs Used In Nausea And Vertigo","Drugs Used In Nausea And Vertigo
56,252","2018","Central Nervous System.Drugs Used In Nausea And Vertigo"
"0406","09H","NHS Crawley CCG",12293,766560,83825.26419,"Central Nervous System","04","Drugs Used In Nausea And Vertigo","Drugs Used In Nausea And Vertigo
12,293","2018","Central Nervous System.Drugs Used In Nausea And Vertigo"
"0406","09X","NHS Horsham And Mid Sussex CCG",17366,1344866,157459.11372,"Central Nervous System","04","Drugs Used In Nausea And Vertigo","Drugs Used In Nausea And Vertigo
17,366","2018","Central Nervous System.Drugs Used In Nausea And Vertigo"
"0407","09G","NHS Coastal West Sussex CCG",528055,60277324,4467769.75566,"Central Nervous System","04","Analgesics","Analgesics
528,055","2018","Central Nervous System.Analgesics"
"0407","09H","NHS Crawley CCG",116102,11580254,885859.1303,"Central Nervous System","04","Analgesics","Analgesics
116,102","2018","Central Nervous System.Analgesics"
"0407","09X","NHS Horsham And Mid Sussex CCG",155085,18018069,1229021.24059,"Central Nervous System","04","Analgesics","Analgesics
155,085","2018","Central Nervous System.Analgesics"
"0408","09G","NHS Coastal West Sussex CCG",228383,20301960,2779134.09037,"Central Nervous System","04","Antiepileptic Drugs","Antiepileptic Drugs
228,383","2018","Central Nervous System.Antiepileptic Drugs"
"0408","09H","NHS Crawley CCG",53200,4251542,796526.15543,"Central Nervous System","04","Antiepileptic Drugs","Antiepileptic Drugs
53,200","2018","Central Nervous System.Antiepileptic Drugs"
"0408","09X","NHS Horsham And Mid Sussex CCG",81221,8682887,1300788.47219,"Central Nervous System","04","Antiepileptic Drugs","Antiepileptic Drugs
81,221","2018","Central Nervous System.Antiepileptic Drugs"
"0409","09G","NHS Coastal West Sussex CCG",47364,4042224,1010712.49847,"Central Nervous System","04","Drugs Used In Park'ism/Related Disorders","Drugs Used In Park'ism/Related Disorders
47,364","2018","Central Nervous System.Drugs Used In Park'ism/Related Disorders"
"0409","09H","NHS Crawley CCG",8058,605695,183785.16614,"Central Nervous System","04","Drugs Used In Park'ism/Related Disorders","Drugs Used In Park'ism/Related Disorders
8,058","2018","Central Nervous System.Drugs Used In Park'ism/Related Disorders"
"0409","09X","NHS Horsham And Mid Sussex CCG",18182,1702898,506662.29867,"Central Nervous System","04","Drugs Used In Park'ism/Related Disorders","Drugs Used In Park'ism/Related Disorders
18,182","2018","Central Nervous System.Drugs Used In Park'ism/Related Disorders"
"0410","09G","NHS Coastal West Sussex CCG",12316,718812,350403.39452,"Central Nervous System","04","Drugs Used In Substance Dependence","Drugs Used In Substance Dependence
12,316","2018","Central Nervous System.Drugs Used In Substance Dependence"
"0410","09H","NHS Crawley CCG",3166,111541,84993.95712,"Central Nervous System","04","Drugs Used In Substance Dependence","Drugs Used In Substance Dependence
3,166","2018","Central Nervous System.Drugs Used In Substance Dependence"
"0410","09X","NHS Horsham And Mid Sussex CCG",3588,204382,101337.22203,"Central Nervous System","04","Drugs Used In Substance Dependence","Drugs Used In Substance Dependence
3,588","2018","Central Nervous System.Drugs Used In Substance Dependence"
"0411","09G","NHS Coastal West Sussex CCG",53370,1306908,352141.19445,"Central Nervous System","04","Dementia","Dementia
53,370","2018","Central Nervous System.Dementia"
"0411","09H","NHS Crawley CCG",7157,180594,53683.74074,"Central Nervous System","04","Dementia","Dementia
7,157","2018","Central Nervous System.Dementia"
"0411","09X","NHS Horsham And Mid Sussex CCG",19036,619046,161084.42408,"Central Nervous System","04","Dementia","Dementia
19,036","2018","Central Nervous System.Dementia"
"0501","09G","NHS Coastal West Sussex CCG",292565,11100184,1177186.42944,"Infections","05","Antibacterial Drugs","Antibacterial Drugs
292,565","2018","Infections.Antibacterial Drugs"
"0501","09H","NHS Crawley CCG",62120,2603828,265222.98865,"Infections","05","Antibacterial Drugs","Antibacterial Drugs
62,120","2018","Infections.Antibacterial Drugs"
"0501","09X","NHS Horsham And Mid Sussex CCG",113875,4701358,472151.4136,"Infections","05","Antibacterial Drugs","Antibacterial Drugs
113,875","2018","Infections.Antibacterial Drugs"
"0502","09G","NHS Coastal West Sussex CCG",13870,400775,77129.18077,"Infections","05","Antifungal Drugs","Antifungal Drugs
13,870","2018","Infections.Antifungal Drugs"
"0502","09H","NHS Crawley CCG",2939,87694,20230.69884,"Infections","05","Antifungal Drugs","Antifungal Drugs
2,939","2018","Infections.Antifungal Drugs"
"0502","09X","NHS Horsham And Mid Sussex CCG",6069,183639,43823.24385,"Infections","05","Antifungal Drugs","Antifungal Drugs
6,069","2018","Infections.Antifungal Drugs"
"0503","09G","NHS Coastal West Sussex CCG",11928,581931,110136.29844,"Infections","05","Antiviral Drugs","Antiviral Drugs
11,928","2018","Infections.Antiviral Drugs"
"0503","09H","NHS Crawley CCG",1903,104515,10328.59011,"Infections","05","Antiviral Drugs","Antiviral Drugs
1,903","2018","Infections.Antiviral Drugs"
"0503","09X","NHS Horsham And Mid Sussex CCG",5086,283591,20655.7821,"Infections","05","Antiviral Drugs","Antiviral Drugs
5,086","2018","Infections.Antiviral Drugs"
"0504","09G","NHS Coastal West Sussex CCG",32572,1018264,67046.41886,"Infections","05","Antiprotozoal Drugs","Antiprotozoal Drugs
32,572","2018","Infections.Antiprotozoal Drugs"
"0504","09H","NHS Crawley CCG",6392,190270,12749.00108,"Infections","05","Antiprotozoal Drugs","Antiprotozoal Drugs
6,392","2018","Infections.Antiprotozoal Drugs"
"0504","09X","NHS Horsham And Mid Sussex CCG",9130,360205,21540.46096,"Infections","05","Antiprotozoal Drugs","Antiprotozoal Drugs
9,130","2018","Infections.Antiprotozoal Drugs"
"0505","09G","NHS Coastal West Sussex CCG",955,21059,1959.72771,"Infections","05","Anthelmintics","Anthelmintics
955","2018","Infections.Anthelmintics"
"0505","09H","NHS Crawley CCG",365,8979,637.02895,"Infections","05","Anthelmintics","Anthelmintics
365","2018","Infections.Anthelmintics"
"0505","09X","NHS Horsham And Mid Sussex CCG",379,8247,642.56481,"Infections","05","Anthelmintics","Anthelmintics
379","2018","Infections.Anthelmintics"
"0601","09G","NHS Coastal West Sussex CCG",437821,30204735,9884856.55755,"Endocrine System","06","Drugs Used In Diabetes","Drugs Used In Diabetes
437,821","2018","Endocrine System.Drugs Used In Diabetes"
"0601","09H","NHS Crawley CCG",122211,8118150,2699177.21004,"Endocrine System","06","Drugs Used In Diabetes","Drugs Used In Diabetes
122,211","2018","Endocrine System.Drugs Used In Diabetes"
"0601","09X","NHS Horsham And Mid Sussex CCG",138368,12005201,3307197.51734,"Endocrine System","06","Drugs Used In Diabetes","Drugs Used In Diabetes
138,368","2018","Endocrine System.Drugs Used In Diabetes"
"0602","09G","NHS Coastal West Sussex CCG",291247,12012048,1191629.05205,"Endocrine System","06","Thyroid And Antithyroid Drugs","Thyroid And Antithyroid Drugs
291,247","2018","Endocrine System.Thyroid And Antithyroid Drugs"
"0602","09H","NHS Crawley CCG",87893,3464236,220072.24459,"Endocrine System","06","Thyroid And Antithyroid Drugs","Thyroid And Antithyroid Drugs
87,893","2018","Endocrine System.Thyroid And Antithyroid Drugs"
