"date","Month_Year","Year","BNF_Section","BNF_Section_Code","items","actual_cost","BNF_Chapter","BNF_Chapter_Code","Area"
2018-05-01,"May-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2970,38553.23,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2970,41471.46,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2968,43959.95,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",3072,41063.2,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2893,44564.86,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",3134,49157.66,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",3156,53081.64,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Antispasmodics & Other drugs altering Gut Motility","0102",2949,40018.86,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Antispasmodics & Other drugs altering Gut Motility","0102",3165,52124.11,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Antispasmodics & Other drugs altering Gut Motility","0102",2772,40889.48,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Antispasmodics & Other drugs altering Gut Motility","0102",3081,43080.14,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",52070,79002.36,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",53905,79097.89,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",53015,78547.92,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",53224,83141.12,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",55423,97937.33,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",51097,91045.2,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",56490,99554.38,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",54746,91416.92,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Antisecretory Drugs & Mucosal Protectants","0103",55423,93872.79,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Antisecretory Drugs & Mucosal Protectants","0103",56411,93444.37,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Antisecretory Drugs & Mucosal Protectants","0103",50244,86235.35,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Antisecretory Drugs & Mucosal Protectants","0103",55059,92793.82,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Acute Diarrhoea","0104",1368,3240.82,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Acute Diarrhoea","0104",1423,3484.98,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Acute Diarrhoea","0104",1474,4277.07,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Acute Diarrhoea","0104",1470,3857.97,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Acute Diarrhoea","0104",1513,4241.35,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Acute Diarrhoea","0104",1336,4374.41,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Acute Diarrhoea","0104",1495,4055.71,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Acute Diarrhoea","0104",1426,3947.26,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Acute Diarrhoea","0104",1462,4234.32,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Acute Diarrhoea","0104",1372,3547.95,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Acute Diarrhoea","0104",1275,3697.25,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Acute Diarrhoea","0104",1416,4048.71,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Chronic Bowel Disorders","0105",1998,97880.22,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Chronic Bowel Disorders","0105",2062,102100.78,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Chronic Bowel Disorders","0105",2022,95410.49,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Chronic Bowel Disorders","0105",2025,103437.04,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Chronic Bowel Disorders","0105",2114,102831.61,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Chronic Bowel Disorders","0105",1961,96372.34,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Chronic Bowel Disorders","0105",2208,108258.47,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Chronic Bowel Disorders","0105",2073,98077.1,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Chronic Bowel Disorders","0105",2162,109519.49,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Chronic Bowel Disorders","0105",2118,102636.1,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Chronic Bowel Disorders","0105",1911,94415.05,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Chronic Bowel Disorders","0105",2163,108107.38,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Laxatives","0106",14971,68167.16,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Laxatives","0106",15320,68985.58,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Laxatives","0106",14881,69505.63,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Laxatives","0106",15055,67703.77,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Laxatives","0106",15829,72628.57,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Laxatives","0106",14552,68913.12,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Laxatives","0106",16236,77825.04,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Laxatives","0106",15407,70425.42,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Laxatives","0106",15523,76643.5,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Laxatives","0106",15727,74063.6,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Laxatives","0106",13739,64925.36,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Laxatives","0106",15142,71373.77,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1074,7228.31,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1067,7475.17,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1006,7676.27,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1054,6492.93,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1040,7003.51,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",927,5838.49,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",1107,7735.03,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",966,6821.32,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Local Prepn for Anal & Rectal Disorders","0107",972,7341.99,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Local Prepn for Anal & Rectal Disorders","0107",1092,8153.21,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Local Prepn for Anal & Rectal Disorders","0107",961,6655.99,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Local Prepn for Anal & Rectal Disorders","0107",1048,7448.29,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Drugs Affecting Intestinal Secretions","0109",699,39301.39,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Drugs Affecting Intestinal Secretions","0109",762,41123.48,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Drugs Affecting Intestinal Secretions","0109",688,40248.98,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Drugs Affecting Intestinal Secretions","0109",787,46272.84,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Drugs Affecting Intestinal Secretions","0109",787,45270.64,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Drugs Affecting Intestinal Secretions","0109",687,40457.54,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Drugs Affecting Intestinal Secretions","0109",769,46833.4,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Drugs Affecting Intestinal Secretions","0109",791,47292.54,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Drugs Affecting Intestinal Secretions","0109",805,48093.11,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Drugs Affecting Intestinal Secretions","0109",708,42470.91,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Drugs Affecting Intestinal Secretions","0109",672,39820.64,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Drugs Affecting Intestinal Secretions","0109",730,44222.19,"Gastro-Intestinal System","01","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Positive Inotropic Drugs","0201",2564,3742.76,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Positive Inotropic Drugs","0201",2595,3798.19,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Positive Inotropic Drugs","0201",2599,3750.11,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Positive Inotropic Drugs","0201",2463,3320.13,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Positive Inotropic Drugs","0201",2605,3972.86,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Positive Inotropic Drugs","0201",2397,3682.05,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Positive Inotropic Drugs","0201",2603,4424.96,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Positive Inotropic Drugs","0201",2557,4013.02,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Positive Inotropic Drugs","0201",2499,3940.21,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Positive Inotropic Drugs","0201",2500,3421.49,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Positive Inotropic Drugs","0201",2214,3013.58,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Positive Inotropic Drugs","0201",2380,3255.03,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Diuretics","0202",25741,35314.97,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Diuretics","0202",27016,38525.09,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Diuretics","0202",26353,37284.76,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Diuretics","0202",26475,37171.75,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Diuretics","0202",27049,41731.22,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Diuretics","0202",24731,38677.56,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Diuretics","0202",26837,51468.56,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Diuretics","0202",26074,57958.6,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Diuretics","0202",25983,56371.9,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Diuretics","0202",25932,53941.4,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Diuretics","0202",23127,45737.75,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Diuretics","0202",25314,46679.43,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Anti-Arrhythmic Drugs","0203",1040,9273.27,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Anti-Arrhythmic Drugs","0203",1097,12419.35,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Anti-Arrhythmic Drugs","0203",1044,11620.55,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Anti-Arrhythmic Drugs","0203",1022,10280.07,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Anti-Arrhythmic Drugs","0203",1089,11459.85,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Anti-Arrhythmic Drugs","0203",1012,11551.27,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Anti-Arrhythmic Drugs","0203",1097,11958.68,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Anti-Arrhythmic Drugs","0203",1060,11761.1,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Anti-Arrhythmic Drugs","0203",1074,9126.92,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Anti-Arrhythmic Drugs","0203",1088,11788.19,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Anti-Arrhythmic Drugs","0203",991,8916.61,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Anti-Arrhythmic Drugs","0203",1060,10645.67,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",30774,38407.83,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",31788,39876.24,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",31340,39601.88,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",31718,62341.6,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",32644,62466.25,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",30381,59592.32,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",33349,67423.52,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",32087,57297.59,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Beta-Adrenoceptor Blocking Drugs","0204",32626,55742.61,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Beta-Adrenoceptor Blocking Drugs","0204",32760,57671.79,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Beta-Adrenoceptor Blocking Drugs","0204",29602,52100.43,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Beta-Adrenoceptor Blocking Drugs","0204",32358,60433.08,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Hypertension and Heart Failure","0205",53871,112837.24,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Hypertension and Heart Failure","0205",55982,114109.03,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Hypertension and Heart Failure","0205",54446,113191.31,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Hypertension and Heart Failure","0205",55229,124744.3,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Hypertension and Heart Failure","0205",56489,144486.9,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Hypertension and Heart Failure","0205",52091,134062.31,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Hypertension and Heart Failure","0205",57230,141645.25,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Hypertension and Heart Failure","0205",55326,179939.22,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Hypertension and Heart Failure","0205",56189,191910.43,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Hypertension and Heart Failure","0205",56172,191733.93,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Hypertension and Heart Failure","0205",50577,165932.96,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Hypertension and Heart Failure","0205",55329,160728.3,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",35703,165859.16,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",37646,173624,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",36397,170773.8,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",36793,158809.93,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",37650,169751.07,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",34628,153657.5,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",38526,159074.87,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",37379,153400.78,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",37673,150375.56,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",38436,148802.01,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",34365,128920.08,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Nitrates, Calcium-channel Blockers & Other Antianginal Drugs","0206",37848,145385.73,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Sympathomimetics","0207",25,1834.89,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Sympathomimetics","0207",30,1207.1,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Sympathomimetics","0207",32,1663.52,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Sympathomimetics","0207",28,1305.79,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Sympathomimetics","0207",32,1436.59,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-09-01,"September-2018",2018,"Sympathomimetics","0207",26,1204.71,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-10-01,"October-2018",2018,"Sympathomimetics","0207",29,1669.19,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-11-01,"November-2018",2018,"Sympathomimetics","0207",37,2061.72,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-12-01,"December-2018",2018,"Sympathomimetics","0207",25,1724.93,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-01-01,"January-2019",2019,"Sympathomimetics","0207",25,1317.09,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-02-01,"February-2019",2019,"Sympathomimetics","0207",22,971.83,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2019-03-01,"March-2019",2019,"Sympathomimetics","0207",21,1438.41,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-04-01,"April-2018",2018,"Anticoagulants And Protamine","0208",18325,476721.92,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-05-01,"May-2018",2018,"Anticoagulants And Protamine","0208",18758,498094.96,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-06-01,"June-2018",2018,"Anticoagulants And Protamine","0208",18704,508323.87,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-07-01,"July-2018",2018,"Anticoagulants And Protamine","0208",18634,508936.34,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
2018-08-01,"August-2018",2018,"Anticoagulants And Protamine","0208",19773,548356.06,"Cardiovascular System","02","NHS Coastal West Sussex CCG"
